,,,,,
,,,,,
,,,,,
Deutsche Bank share prices,,,,,
Frankfurt (EUR),,,,,
,,,,,
Date,Open,High,Low,Close,Volume (shares)
11/28/1997,43.93,44.04,43.71,43.79,"3,196,812"
12/01/1997,44.53,44.82,44.41,44.49,"4,185,032"
12/02/1997,45.01,45.05,44.45,44.53,"3,881,885"
12/03/1997,43.89,44.33,43.66,44.33,"4,823,253"
12/04/1997,44.47,44.95,44.10,44.66,"4,539,136"
12/05/1997,45.94,46.02,45.73,45.73,"5,990,995"
12/08/1997,47.22,47.47,46.95,47.18,"6,306,627"
12/09/1997,47.59,48.44,47.47,48.13,"7,542,485"
12/10/1997,48.86,48.94,48.09,48.26,"6,659,986"
12/11/1997,46.66,46.83,46.37,46.48,"4,504,634"
12/12/1997,46.97,47.35,46.89,47.35,"3,477,166"
12/15/1997,48.01,48.09,47.74,47.74,"4,321,192"
12/16/1997,48.15,48.22,47.86,47.92,"5,534,570"
12/17/1997,48.17,48.32,47.84,48.30,"6,613,461"
12/18/1997,48.77,49.06,48.63,48.71,"5,660,932"
12/19/1997,48.40,48.40,47.82,47.99,"11,927,401"
12/22/1997,47.43,48.21,47.28,48.05,"8,969,823"
12/23/1997,48.01,48.01,47.51,47.61,"3,232,777"
12/29/1997,47.74,48.55,47.72,48.40,"2,819,759"
12/30/1997,48.59,49.33,48.26,49.17,"8,758,611"
01/02/1998,49.41,49.48,49.02,49.35,"6,061,347"
01/05/1998,49.56,49.72,49.17,49.17,"6,834,879"
01/06/1998,49.17,49.25,48.73,48.79,"4,661,081"
01/07/1998,48.07,48.44,47.90,47.97,"4,227,838"
01/08/1998,47.62,47.62,46.15,46.33,"8,330,480"
01/09/1998,44.43,44.80,44.20,44.51,"9,585,266"
01/12/1998,42.20,42.61,41.97,42.13,"12,440,561"
01/13/1998,43.75,44.14,43.58,43.60,"7,648,369"
01/14/1998,44.45,44.59,43.75,43.87,"6,683,219"
01/15/1998,43.52,44.06,43.40,43.50,"5,415,881"
01/16/1998,44.45,44.45,44.20,44.35,"6,762,179"
01/19/1998,44.68,45.11,44.53,44.57,"3,253,694"
01/20/1998,43.44,44.14,43.29,43.87,"10,714,385"
01/21/1998,43.02,43.56,43.00,43.23,"5,960,170"
01/22/1998,42.20,42.59,42.15,42.59,"16,919,740"
01/23/1998,42.51,42.82,42.22,42.24,"4,969,957"
01/26/1998,42.28,42.44,42.17,42.24,"2,692,863"
01/27/1998,42.78,42.86,42.42,42.44,"3,079,236"
01/28/1998,43.56,45.69,43.54,45.57,"12,054,483"
01/29/1998,45.53,46.33,45.42,46.23,"8,083,955"
01/30/1998,46.13,46.33,45.92,46.04,"5,680,706"
02/02/1998,45.96,46.06,45.53,45.86,"7,012,678"
02/03/1998,45.34,45.88,45.15,45.88,"6,293,826"
02/04/1998,45.92,46.13,45.75,45.86,"4,379,010"
02/05/1998,46.58,46.85,46.08,46.39,"7,573,915"
02/06/1998,47.24,48.01,46.93,47.84,"9,335,802"
02/09/1998,48.38,48.38,47.47,47.57,"6,658,333"
02/10/1998,47.41,47.43,46.73,47.20,"3,809,237"
02/11/1998,47.43,48.09,47.43,47.82,"4,340,049"
02/12/1998,48.40,48.57,47.76,48.40,"8,169,792"
02/13/1998,48.11,48.90,47.90,48.79,"6,730,913"
02/16/1998,48.26,48.52,47.86,48.52,"6,494,389"
02/17/1998,48.63,49.27,48.63,49.25,"12,350,323"
02/18/1998,48.61,49.06,48.55,48.83,"7,064,897"
02/19/1998,48.26,48.52,48.24,48.30,"8,454,655"
02/20/1998,48.15,48.38,47.97,48.26,"5,370,126"
02/23/1998,48.55,48.86,48.52,48.69,"3,439,314"
02/24/1998,47.51,47.82,47.04,47.08,"2,535,992"
02/25/1998,47.74,47.97,47.66,47.66,"4,388,463"
02/26/1998,48.40,49.06,48.40,48.46,"7,246,772"
02/27/1998,48.40,48.52,48.11,48.26,"4,336,457"
03/02/1998,47.51,48.09,47.51,47.93,"4,648,408"
03/03/1998,48.79,49.33,48.59,48.71,"6,477,596"
03/04/1998,49.02,49.08,47.90,48.15,"4,902,347"
03/05/1998,47.14,47.14,46.71,46.77,"4,134,589"
03/06/1998,47.14,47.51,47.04,47.33,"4,280,114"
03/09/1998,47.82,48.17,47.51,47.78,"3,350,113"
03/10/1998,48.11,48.67,48.11,48.36,"4,418,906"
03/11/1998,49.72,49.73,49.29,49.43,"8,551,884"
03/12/1998,50.08,50.30,49.87,50.18,"7,338,799"
03/13/1998,50.95,51.59,50.82,51.15,"11,402,115"
03/16/1998,51.54,51.61,50.99,51.23,"5,486,803"
03/17/1998,51.69,52.37,51.69,52.08,"10,099,142"
03/18/1998,52.37,52.62,51.46,51.46,"5,806,557"
03/19/1998,51.50,51.73,51.23,51.65,"3,840,520"
03/20/1998,52.46,52.46,52.19,52.29,"2,494,287"
03/23/1998,52.08,52.08,51.69,51.73,"11,400,713"
03/24/1998,52.35,52.39,51.69,51.73,"6,673,659"
03/25/1998,53.43,54.21,53.43,54.21,"9,004,781"
03/26/1998,54.13,54.13,53.05,53.30,"5,803,298"
03/27/1998,53.36,54.05,53.18,54.03,"9,341,845"
03/30/1998,52.83,52.83,52.02,52.02,"4,353,165"
03/31/1998,53.05,54.19,53.05,53.88,"6,207,586"
04/01/1998,54.83,54.88,54.28,54.38,"7,672,504"
04/02/1998,53.97,54.90,53.05,54.77,"7,450,120"
04/03/1998,55.31,56.10,55.29,55.37,"8,047,238"
04/06/1998,56.01,56.80,55.93,56.61,"7,908,750"
04/07/1998,59.51,60.40,59.51,59.82,"6,891,825"
04/08/1998,57.30,57.54,56.92,57.23,"10,993,321"
04/09/1998,57.19,58.62,56.99,58.47,"4,113,706"
04/14/1998,60.00,60.09,59.24,59.24,"5,114,338"
04/15/1998,59.24,59.24,58.81,59.16,"3,973,840"
04/16/1998,59.05,59.28,58.47,58.91,"5,067,546"
04/17/1998,58.06,58.35,57.92,58.33,"5,022,252"
04/20/1998,59.51,59.86,59.32,59.74,"14,394,041"
04/21/1998,59.09,59.96,59.05,59.90,"5,009,888"
04/22/1998,60.19,60.32,59.09,59.26,"4,599,013"
04/23/1998,58.31,58.74,57.89,58.00,"4,401,825"
04/24/1998,56.57,56.57,55.48,55.56,"6,003,152"
04/27/1998,55.48,55.79,54.69,55.02,"3,909,599"
04/28/1998,54.27,54.52,53.08,53.10,"10,253,141"
04/29/1998,54.21,54.79,54.09,54.54,"4,490,536"
04/30/1998,53.59,53.90,53.47,53.47,"3,616,798"
05/04/1998,56.47,56.47,56.22,56.22,"6,264,853"
05/05/1998,55.87,56.22,55.56,55.76,"3,663,502"
05/06/1998,57.05,57.38,56.92,57.29,"1,779,906"
05/07/1998,59.43,59.43,58.18,58.47,"3,226,572"
05/08/1998,58.93,59.12,58.66,58.91,"3,188,957"
05/11/1998,59.61,60.15,59.47,60.00,"3,617,148"
05/12/1998,59.43,60.89,59.20,60.69,"1,884,578"
05/13/1998,61.12,61.83,61.12,61.64,"1,910,950"
05/14/1998,61.89,61.89,60.62,60.91,"4,506,847"
05/15/1998,61.66,61.68,61.39,61.56,"3,261,384"
05/18/1998,60.52,60.71,59.82,59.82,"2,890,030"
05/19/1998,60.00,60.15,59.78,60.11,"4,812,673"
05/20/1998,61.95,61.95,61.45,61.47,"4,710,011"
05/22/1998,62.74,63.73,62.65,62.80,"1,572,158"
05/25/1998,62.45,62.53,62.26,62.38,"2,136,918"
05/26/1998,62.73,62.73,61.95,62.01,"3,146,936"
05/27/1998,60.23,60.71,59.94,60.40,"3,263,747"
05/28/1998,60.38,60.42,59.28,59.28,"4,101,712"
05/29/1998,59.74,59.94,59.05,59.47,"3,066,011"
06/02/1998,59.51,59.71,59.32,59.55,"2,651,613"
06/03/1998,60.32,61.14,60.21,60.34,"2,711,419"
06/04/1998,59.63,59.71,59.24,59.24,"2,825,305"
06/05/1998,59.43,59.80,59.40,59.80,"1,942,025"
06/08/1998,60.67,60.71,59.78,60.05,"2,261,429"
06/09/1998,60.75,60.75,59.69,59.69,"3,755,754"
06/10/1998,59.55,59.55,59.01,59.45,"2,156,574"
06/12/1998,58.85,59.05,57.50,57.81,"3,662,374"
06/15/1998,57.11,57.11,55.87,56.10,"2,930,573"
06/16/1998,56.41,56.72,55.99,56.26,"3,447,801"
06/17/1998,56.76,56.80,56.49,56.49,"2,718,647"
06/18/1998,57.87,57.87,57.32,57.65,"3,497,012"
06/19/1998,57.60,57.69,57.38,57.46,"4,222,236"
06/22/1998,55.83,55.91,55.21,55.72,"3,973,645"
06/23/1998,56.14,57.09,56.10,56.92,"2,448,126"
06/24/1998,58.00,58.02,57.50,57.94,"3,027,751"
06/25/1998,58.64,58.81,58.35,58.35,"3,899,811"
06/26/1998,58.23,58.70,58.20,58.35,"2,536,074"
06/29/1998,59.53,59.98,59.53,59.82,"3,554,742"
06/30/1998,58.85,59.24,58.85,59.09,"2,930,390"
07/01/1998,59.24,59.69,58.93,59.24,"2,470,038"
07/02/1998,59.47,60.01,58.89,59.01,"3,586,339"
07/03/1998,58.93,58.95,57.60,58.08,"2,400,484"
07/06/1998,57.60,57.98,56.80,56.98,"3,430,538"
07/07/1998,57.42,57.90,56.84,57.13,"4,005,485"
07/08/1998,57.69,57.98,57.11,57.15,"3,095,085"
07/09/1998,57.27,58.08,57.07,57.42,"4,783,816"
07/10/1998,56.92,57.42,56.57,56.61,"3,374,713"
07/13/1998,57.30,57.30,56.03,56.26,"2,780,715"
07/14/1998,56.14,58.85,56.14,58.81,"2,324,095"
07/15/1998,59.63,60.29,59.12,59.74,"1,738,135"
07/16/1998,60.01,60.50,58.85,58.93,"5,013,856"
07/17/1998,59.43,61.29,59.34,60.52,"1,773,423"
07/20/1998,60.60,61.87,60.44,61.23,"4,807,941"
07/21/1998,61.56,62.92,60.98,61.76,"11,008,182"
07/22/1998,61.49,61.80,60.29,60.60,"4,671,145"
07/23/1998,60.09,60.98,59.28,59.67,"6,428,288"
